Date,Product,Quantity,Revenue,Profit,Source
2026-06-20,Phone Case,2,7600.0,2380.0,
2026-06-21,Phone Case,1,1600.0,380.0,
2026-06-22,Phone Case,3,13820.0,4650.0,
2026-06-23,Phone Case,2,1810.0,650.0,
2026-06-24,Phone Case,2,5110.0,1640.0,
2026-06-25,Phone Case,2,1850.0,610.0,
2026-06-28,Phone Case,1,2710.0,790.0,
2026-06-28,Phone Case,1,2890.0,800.0,
2026-06-28,Phone Case,1,1440.0,410.0,
2026-09-22,Phone Case,1,1927.41,589.29,
